##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	ege_1765750669_SRR24940081.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2268524
Total Bases	539.3 Mbp
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.514984633179985	34.0	34.0	34.0	34.0	34.0
2	33.440032373472796	34.0	34.0	34.0	34.0	34.0
3	33.49680849750763	34.0	34.0	34.0	34.0	34.0
4	33.504761245638136	34.0	34.0	34.0	34.0	34.0
5	33.51194300787649	34.0	34.0	34.0	34.0	34.0
6	37.13344491836983	38.0	38.0	38.0	36.0	38.0
7	37.029253823190764	38.0	38.0	38.0	36.0	38.0
8	36.97145809345636	38.0	38.0	38.0	36.0	38.0
9	36.94879137271636	38.0	38.0	38.0	36.0	38.0
10-14	36.96706704447474	38.0	38.0	38.0	36.0	38.0
15-19	36.98003926782348	38.0	38.0	38.0	36.0	38.0
20-24	36.96478891120394	38.0	38.0	38.0	35.8	38.0
25-29	36.82141039724508	38.0	38.0	38.0	35.0	38.0
30-34	36.870966848929086	38.0	38.0	38.0	35.6	38.0
35-39	36.91329455106538	38.0	38.0	38.0	36.0	38.0
40-44	36.86679513410751	38.0	38.0	38.0	35.2	38.0
45-49	36.81778508249632	38.0	38.0	38.0	35.0	38.0
50-54	36.86299246118487	38.0	38.0	38.0	35.2	38.0
55-59	36.79920546698011	38.0	38.0	38.0	35.0	38.0
60-64	36.74898444732635	38.0	38.0	38.0	35.0	38.0
65-69	36.71925206828899	38.0	38.0	38.0	34.6	38.0
70-74	36.69203582531681	38.0	38.0	38.0	34.4	38.0
75-79	36.59720419006858	38.0	37.6	38.0	34.0	38.0
80-84	36.55341302579724	38.0	37.4	38.0	34.0	38.0
85-89	36.62437461012844	38.0	38.0	38.0	34.0	38.0
90-94	36.59221244510768	38.0	38.0	38.0	34.0	38.0
95-99	36.56984115486462	38.0	37.8	38.0	34.0	38.0
100-104	36.37985901365648	38.0	37.0	38.0	34.0	38.0
105-109	36.43940390612299	38.0	37.0	38.0	34.0	38.0
110-114	36.49479947948634	38.0	37.0	38.0	34.0	38.0
115-119	36.453905530386805	38.0	37.4	38.0	34.0	38.0
120-124	36.339275972610835	38.0	37.0	38.0	34.0	38.0
125-129	36.33460096138334	38.0	37.0	38.0	34.0	38.0
130-134	36.260931513616114	38.0	37.0	38.0	33.8	38.0
135-139	36.28733242099211	38.0	37.0	38.0	34.0	38.0
140-144	36.227504505103084	38.0	37.0	38.0	34.0	38.0
145-149	36.166880710832864	38.0	37.0	38.0	33.4	38.0
150-154	36.15267528421978	38.0	37.0	38.0	33.2	38.0
155-159	36.08023140879693	38.0	37.0	38.0	33.0	38.0
160-164	36.09295886529546	38.0	37.0	38.0	33.0	38.0
165-169	35.839540564023096	38.0	37.0	38.0	31.4	38.0
170-174	35.80587598683614	38.0	37.0	38.0	31.0	38.0
175-179	35.77025254133007	38.0	37.0	38.0	31.0	38.0
180-184	35.61754335794169	38.0	36.4	38.0	29.6	38.0
185-189	35.51194210234658	38.0	36.0	38.0	29.0	38.0
190-194	35.39621200528755	38.0	36.0	38.0	28.0	38.0
195-199	35.25527387315697	38.0	36.0	38.0	27.2	38.0
200-204	35.06840800499575	38.0	35.8	38.0	26.0	38.0
205-209	34.77986207437976	38.0	35.0	38.0	25.0	38.0
210-214	34.60694638605541	37.8	35.0	38.0	24.6	38.0
215-219	34.190656686866895	37.0	34.4	38.0	23.4	38.0
220-224	33.70355421214216	37.0	33.8	38.0	22.0	38.0
225-229	33.170135392036435	37.0	31.8	38.0	21.0	38.0
230-234	32.57511771396618	37.0	29.8	37.8	19.8	38.0
235-239	32.01994913200273	37.0	29.2	37.2	19.0	38.0
240-244	31.276901356675786	36.4	27.6	37.0	18.0	37.6
245-249	30.55423400602958	35.0	26.0	37.0	17.0	37.0
250-251	25.47045976260563	26.5	18.0	33.0	12.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1105	115-119	0.21527508513585047
1105	120-124	0.26192270454657773
1105	125-129	0.22132598296174422
1105	130-134	0.34677055916562693
1105	135-139	0.1430329810699149
1105	140-144	0.23019611638599713
1105	145-149	0.22313385401233887
1105	150-154	0.13256958394901375
1105	155-159	0.1234511038162367
1105	160-164	0.2358072807460232
1105	165-169	0.3066012383416279
1105	170-174	0.5321230017452265
1105	175-179	0.11972084242545122
1105	180-184	0.22264630547460484
1105	185-189	0.19059350854104196
1105	190-194	0.10363999758970266
1105	195-199	0.18774006303256385
1105	200-204	0.3197289334154405
1105	205-209	0.1723096516427134
1105	210-214	0.6347443296641728
1105	215-219	0.24687961936754732
1105	220-224	0.4113002008184061
1105	225-229	0.576127002774669
1105	230-234	1.0992772982994161
1105	235-239	0.676397732944757
1105	240-244	0.2414342775340188
1105	245-249	0.5490520378485151
1105	250-251	0.44147821679291255
1106	1	0.03765683341028847
1106	2	0.020254634766324386
1106	3	0.07201729556027914
1106	4	0.014001172461320266
1106	5	-0.024220265705949373
1106	6	0.004867813736844084
1106	7	0.15650343775496367
1106	8	-0.059209119299303836
1106	9	-0.22812371388123154
1106	10-14	-0.03682595864361815
1106	15-19	0.02986405862082364
1106	20-24	0.005631101208805944
1106	25-29	-0.11748075544566916
1106	30-34	-0.07588237220451077
1106	35-39	0.006911325335352103
1106	40-44	0.0479350287299809
1106	45-49	-0.021573653194039366
1106	50-54	0.01909734313026945
1106	55-59	0.09826041941730779
1106	60-64	0.054624195345105875
1106	65-69	0.03244162312853405
1106	70-74	0.05725721853009702
1106	75-79	0.12498983662604957
1106	80-84	0.22618669102621425
1106	85-89	0.10920562423965663
1106	90-94	0.058573104154625355
1106	95-99	0.16056403171179312
1106	100-104	0.259989961494675
1106	105-109	0.15964711083461935
1106	110-114	0.24854442463138327
1106	115-119	0.19210109535355002
1106	120-124	0.06865339153254268
1106	125-129	-0.02584185916128945
1106	130-134	0.26911228022060385
1106	135-139	0.08751464247539786
1106	140-144	0.08182045733080656
1106	145-149	0.04413772283292161
1106	150-154	0.2145096339890884
1106	155-159	0.07094050417524755
1106	160-164	0.15931546387176354
1106	165-169	0.2178445370333506
1106	170-174	0.43842394534160434
1106	175-179	0.23128391468078036
1106	180-184	0.10882648473943846
1106	185-189	0.19149249748873132
1106	190-194	0.28964105657127703
1106	195-199	0.24960196913931298
1106	200-204	0.1816740880453196
1106	205-209	0.39802106917233715
1106	210-214	0.5521640871712208
1106	215-219	0.44610832418688773
1106	220-224	0.32868732726100447
1106	225-229	0.44048700047009604
1106	230-234	0.9758993256194621
1106	235-239	0.1092300749624684
1106	240-244	0.5520544955729143
1106	245-249	0.4978065711231139
1106	250-251	0.47445389476387234
1107	1	-0.007850836820836093
1107	2	0.032236310443977345
1107	3	0.011566898994246344
1107	4	-0.035931611175968214
1107	5	-0.01692592781058977
1107	6	0.11870059792055088
1107	7	-0.13935223740065084
1107	8	-0.30411396488801046
1107	9	-0.07636753491463111
1107	10-14	-0.1071329710440807
1107	15-19	-0.07446841319418951
1107	20-24	-0.11663019874092839
1107	25-29	-0.17932189953751987
1107	30-34	-0.07753235141962733
1107	35-39	-0.08000980533428503
1107	40-44	-0.10255765485401724
1107	45-49	-0.05641545035940254
1107	50-54	-0.05265571706866723
1107	55-59	-0.006579073105399402
1107	60-64	-0.10065234849660953
1107	65-69	-0.14404755433496064
1107	70-74	-0.07134159663586814
1107	75-79	-0.08596879338989538
1107	80-84	0.03314611850218796
1107	85-89	-0.11514262494058869
1107	90-94	-0.07264269108823385
1107	95-99	-0.07533685452340677
1107	100-104	0.11173859645196416
1107	105-109	-0.04226528066473634
1107	110-114	0.048315542449962834
1107	115-119	0.16083067009947172
1107	120-124	0.10792553411235417
1107	125-129	0.03634406155853753
1107	130-134	0.23210184921494204
1107	135-139	0.07759584763299898
1107	140-144	0.13096561575923005
1107	145-149	0.0829179837411047
1107	150-154	0.07741553658652833
1107	155-159	0.06732420041584675
1107	160-164	0.0616534337817356
1107	165-169	0.26497288097613847
1107	170-174	0.2786700190331146
1107	175-179	0.019703521340083796
1107	180-184	0.10619239628810817
